iter	Passed	Remaining
0	184	183907
1	205	102716
2	230	76737
3	254	63280
4	278	55441
5	301	49960
6	324	45978
7	344	42769
8	362	39874
9	376	37305
10	390	35138
11	404	33331
12	418	31761
13	429	30252
14	439	28880
15	449	27629
16	459	26590
17	468	25577
18	478	24719
19	488	23932
20	497	23195
21	507	22560
22	516	21938
23	526	21420
24	536	20924
25	545	20449
26	556	20046
27	565	19623
28	575	19269
29	584	18902
30	594	18570
31	604	18279
32	613	17979
33	624	17733
34	633	17469
35	642	17215
36	652	16984
37	661	16750
38	672	16558
39	680	16339
40	690	16151
41	700	15973
42	709	15793
43	719	15628
44	728	15456
45	738	15316
46	748	15168
47	758	15043
48	771	14980
49	784	14896
50	796	14824
51	810	14775
52	822	14693
53	832	14575
54	841	14451
55	850	14344
56	862	14272
57	872	14162
58	883	14095
59	893	14002
60	903	13901
61	912	13804
62	921	13710
63	932	13632
64	941	13538
65	950	13455
66	960	13379
67	969	13292
68	979	13216
69	988	13131
70	998	13064
71	1008	12992
72	1017	12917
73	1026	12850
74	1036	12781
75	1047	12730
76	1056	12667
77	1066	12603
78	1076	12545
79	1084	12476
80	1094	12422
81	1103	12356
82	1113	12301
83	1122	12242
84	1131	12185
85	1141	12128
86	1150	12070
87	1160	12028
88	1171	11989
89	1181	11947
90	1193	11925
91	1202	11872
92	1213	11837
93	1223	11792
94	1232	11738
95	1242	11696
96	1250	11643
97	1263	11624
98	1272	11583
99	1281	11536
100	1291	11498
101	1300	11453
102	1311	11419
103	1320	11373
104	1329	11333
105	1339	11294
106	1348	11255
107	1360	11234
108	1369	11193
109	1378	11153
110	1388	11121
111	1397	11079
112	1407	11048
113	1416	11010
114	1426	10981
115	1436	10946
116	1445	10910
117	1455	10880
118	1465	10846
119	1475	10817
120	1484	10782
121	1493	10748
122	1503	10716
123	1512	10682
124	1522	10654
125	1531	10622
126	1541	10595
127	1550	10564
128	1559	10533
129	1569	10504
130	1578	10470
131	1588	10447
132	1598	10421
133	1608	10396
134	1619	10374
135	1628	10345
136	1638	10322
137	1647	10291
138	1656	10263
139	1666	10238
140	1676	10213
141	1688	10200
142	1697	10173
143	1706	10146
144	1716	10121
145	1725	10092
146	1735	10072
147	1745	10045
148	1754	10022
149	1764	9996
150	1773	9971
151	1783	9950
152	1792	9924
153	1802	9904
154	1812	9881
155	1822	9858
156	1832	9839
157	1841	9813
158	1851	9790
159	1859	9764
160	1869	9741
161	1878	9717
162	1888	9699
163	1899	9681
164	1908	9655
165	1918	9636
166	1927	9613
167	1936	9591
168	1946	9570
169	1955	9546
170	1965	9527
171	1974	9503
172	1984	9484
173	1993	9462
174	2002	9440
175	2012	9422
176	2021	9399
177	2032	9386
178	2041	9363
179	2050	9340
180	2059	9319
181	2068	9298
182	2078	9281
183	2087	9258
184	2099	9249
185	2109	9230
186	2118	9209
187	2128	9192
188	2137	9171
189	2146	9152
190	2155	9131
191	2165	9113
192	2174	9094
193	2184	9074
194	2193	9055
195	2202	9033
196	2212	9019
197	2222	9000
198	2231	8983
199	2241	8965
200	2250	8944
201	2259	8927
202	2269	8908
203	2278	8891
204	2287	8871
205	2296	8852
206	2306	8835
207	2317	8823
208	2327	8808
209	2336	8788
210	2345	8769
211	2354	8751
212	2363	8732
213	2373	8716
214	2382	8698
215	2392	8682
216	2401	8663
