CustomerID,Country,user_education,Gender,UsesAdvancedFeatures,AppEngagementSeconds,LastLoginDaysAgo,Profession,SubscriptionType,UsesVR,RenewSubscription,Age,DesignProjectScale,NumberOfDesigns,TutorialProgressionType,FrequencyOfDesignToolUsage,CustomerSupportCall
CUST00001,USA,High School,Male,N,14513,7,Hobbyist,Pay-as-you-go,Y,Yes,27.0,Small,19,Beginner,Weekly,N
CUST00002,USA,Master's,Female,N,2412,2,Architect,Basic,Y,Yes,27.0,Mixed-use,26,Not Attended,Monthly,N
CUST00003,USA,Bachelor's,Male,Y,44444,8,Hobbyist,Basic,Y,Yes,35.0,Medium,155,Advanced,Monthly,N
CUST00004,USA,Bachelor's,Male,N,98,103,Hobbyist,Basic,Y,Yes,48.0,Small,153,Intermediate,Monthly,N
CUST00005,Canada,Master's,Female,N,1082,5,Interior Designer,Basic,Y,No,29.0,Large,128,Beginner,Daily,Y
CUST00006,USA,Master's,Female,N,2339,12,Interior Designer,Basic,Y,No,26.0,Large,135,Beginner,Daily,Y
CUST00007,USA,Bachelor's,Male,N,4985,6,Interior Designer,Basic,Y,No,40.0,Large,35,Beginner,Daily,Y
CUST00008,Turkey,Bachelor's,Female,N,3035,76,Hobbyist,Pay-as-you-go,Y,Yes,31.0,Medium,143,Advanced,Monthly,N
CUST00009,USA,Bachelor's,Male,N,4810,12,Student,Basic,Y,Yes,20.0,Mixed-use,94,Intermediate,Weekly,N
CUST00010,UK,Doctorate,Female,N,2251,5,Interior Designer,Basic,Y,Yes,21.0,Mixed-use,170,Advanced,Weekly,N
CUST00011,USA,Master's,Male,N,2465,4,Student,Basic,Y,No,30.0,Large,162,Beginner,Daily,Y
CUST00012,USA,High School,Female,N,4069,5,Architect,Basic,Y,Yes,28.0,Medium,64,Not Attended,Monthly,N
CUST00013,USA,Bachelor's,Female,N,123876,37,Architect,Basic,Y,Yes,24.0,Mixed-use,45,Advanced,Monthly,N
CUST00014,USA,Bachelor's,Female,N,1652,7,Student,Basic,Y,No,30.0,Large,176,Beginner,Daily,Y
CUST00015,USA,Master's,Female,Y,15756,6,Interior Designer,Basic,Y,No,26.0,Large,148,Beginner,Daily,Y
CUST00016,USA,High School,Female,N,4897,13,Hobbyist,Basic,Y,Yes,28.0,Small,35,Beginner,Daily,Y
CUST00017,UK,Master's,Female,N,76638,9,Student,Basic,Y,No,22.0,Large,60,Beginner,Daily,Y
CUST00018,USA,Master's,Female,N,2747,1,Hobbyist,Basic,Y,No,35.0,Large,177,Intermediate,Weekly,Y
CUST00019,Canada,Master's,Female,N,4743,4,Student,Basic,Y,No,49.0,Large,25,Intermediate,Daily,Y
CUST00020,USA,Doctorate,Male,N,843,28,Student,Basic,Y,No,19.0,Large,52,Beginner,Daily,Y
CUST00021,USA,Master's,Male,N,880,8,Hobbyist,Basic,Y,Yes,29.0,Medium,43,Intermediate,Monthly,N
CUST00022,Turkey,Master's,Female,N,1706,13,Student,Basic,N,No,32.0,Large,54,Beginner,Daily,Y
CUST00023,USA,Master's,Female,N,2878,32,Hobbyist,Basic,Y,No,37.0,Large,156,Beginner,Daily,Y
CUST00024,Turkey,High School,Male,N,1517,116,Student,Basic,N,No,23.0,Large,80,Beginner,Daily,Y
CUST00025,UK,Doctorate,Female,N,241,19,Student,Basic,Y,No,32.0,Large,162,Intermediate,Daily,Y
CUST00026,Turkey,Master's,Male,N,1100,3,Student,Basic,Y,Yes,33.0,Mixed-use,86,Advanced,Weekly,N
CUST00027,USA,Bachelor's,Female,N,756,5,Interior Designer,Basic,Y,No,42.0,Large,157,Beginner,Daily,Y
CUST00028,USA,High School,Female,Y,2889,5,Interior Designer,Basic,Y,No,32.0,Large,38,Intermediate,Weekly,Y
CUST00029,USA,Master's,Female,N,18,4,Architect,Basic,Y,No,37.0,Large,32,Intermediate,Weekly,Y
CUST00030,USA,Bachelor's,Female,N,758,9,Architect,Basic,Y,No,37.0,Large,53,Beginner,Daily,Y
CUST00031,USA,Master's,Female,N,1408,2,Student,Basic,N,Yes,44.0,Mixed-use,36,Intermediate,Weekly,N
CUST00032,USA,Doctorate,Female,N,995,120,Interior Designer,Basic,N,No,32.0,Large,60,Beginner,Daily,Y
CUST00033,USA,Bachelor's,Male,N,2415,37,Student,Basic,N,No,20.0,Large,16,Beginner,Daily,Y
CUST00034,USA,High School,Male,N,2395,0,Interior Designer,Basic,Y,Yes,44.0,Mixed-use,43,Not Attended,Monthly,N
CUST00035,USA,Master's,Male,N,1809,10,Interior Designer,Basic,N,Yes,22.0,Mixed-use,132,Not Attended,Monthly,N
CUST00036,USA,High School,Female,N,5512,1,Architect,Basic,Y,Yes,28.0,Medium,39,Advanced,Monthly,N
CUST00037,UK,High School,Female,N,2520,19,Hobbyist,Basic,Y,Yes,37.0,Small,62,Beginner,Weekly,N
CUST00038,UK,Master's,Female,Y,44,35,Interior Designer,Basic,Y,No,29.0,Large,83,Beginner,Daily,Y
CUST00039,USA,Bachelor's,Female,Y,2206,91,Architect,Basic,Y,Yes,50.0,Mixed-use,155,Intermediate,Weekly,N
CUST00040,USA,Master's,Male,N,3729,7,Student,Basic,Y,No,28.0,Large,57,Intermediate,Daily,Y
CUST00041,USA,Bachelor's,Female,N,3723,11,Hobbyist,Basic,Y,No,32.0,Large,162,Beginner,Daily,Y
CUST00042,USA,Master's,Female,N,1209,11,Architect,Basic,N,No,33.0,Large,135,Intermediate,Daily,Y
CUST00043,UK,Doctorate,Female,N,19770,5,Hobbyist,Basic,Y,No,32.0,Large,82,Beginner,Daily,Y
CUST00044,Turkey,Master's,Female,N,2582,11,Interior Designer,Basic,Y,Yes,24.0,Mixed-use,176,Not Attended,Monthly,N
CUST00045,USA,High School,Female,N,5407,2,Hobbyist,Basic,Y,Yes,40.0,Small,43,Beginner,Weekly,Y
CUST00046,UK,Bachelor's,Male,Y,2092,2,Interior Designer,Basic,Y,Yes,32.0,Mixed-use,32,Intermediate,Weekly,N
CUST00047,USA,Bachelor's,Female,N,2623,8,Interior Designer,Basic,Y,No,42.0,Large,155,Beginner,Daily,Y
CUST00048,USA,High School,Female,N,226,9,Student,Basic,Y,No,26.0,Large,68,Intermediate,Weekly,Y
CUST00049,USA,Bachelor's,Female,N,2405,67,Interior Designer,Basic,Y,No,42.0,Large,70,Intermediate,Weekly,Y
CUST00050,USA,Doctorate,Male,Y,2171,40,Architect,Basic,Y,Yes,21.0,Small,58,Beginner,Daily,Y
CUST00051,USA,Bachelor's,Male,N,746,9,Student,Basic,Y,Yes,35.0,Mixed-use,150,Not Attended,Monthly,N
CUST00052,USA,Master's,Female,N,3129,3,Student,Basic,N,Yes,29.0,Mixed-use,64,Advanced,Weekly,N
CUST00053,USA,Bachelor's,Male,N,1647,2,Student,Basic,Y,Yes,32.0,Mixed-use,115,Not Attended,Monthly,N
